Indicator Name,Indicator Code,ZAF,GHA,COD,KEN,ZWE,NGA,total
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,32,32,32,32,32,32,192
Number of deaths ages 20-24 years,SH.DTH.2024,32,32,32,32,32,32,192
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,32,32,32,32,32,32,192
"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,32,32,32,32,32,32,192
Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,32,32,32,32,32,32,192
Number of deaths ages 5-9 years,SH.DTH.0509,32,32,32,32,32,32,192
Young people (ages 15-24) newly infected with HIV,SH.HIV.INCD.YG,32,32,32,32,32,32,192
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,32,32,32,32,32,32,192
Number of deaths ages 15-19 years,SH.DTH.1519,32,32,32,32,32,32,192
"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,32,32,32,32,32,32,192
"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",SH.HIV.INCD.YG.P3,32,32,32,32,32,32,192
"Prevalence of HIV, female (% ages 15-24)",SH.HIV.1524.FE.ZS,32,32,32,32,32,32,192
"Prevalence of HIV, male (% ages 15-24)",SH.HIV.1524.MA.ZS,32,32,32,32,32,32,192
"Probability of dying among children ages 5-9 years (per 1,000)",SH.DYN.0509,32,32,32,32,32,32,192
Children (0-14) living with HIV,SH.HIV.0014,32,32,32,32,32,32,192
Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,32,32,32,32,32,32,192
Individuals using the Internet (% of population),IT.NET.USER.ZS,32,32,32,32,32,32,192
GDP per person employed (constant 2017 PPP $),SL.GDP.PCAP.EM.KD,32,32,32,32,32,32,192
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,32,32,32,32,32,32,192
"Probability of dying among adolescents ages 10-14 years (per 1,000)",SH.DYN.1014,32,32,32,32,32,32,192
"Incidence of HIV, all (per 1,000 uninfected population)",SH.HIV.INCD.TL.P3,32,32,32,32,32,32,192
"Probability of dying among adolescents ages 15-19 years (per 1,000)",SH.DYN.1519,32,32,32,32,32,32,192
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,32,32,32,32,32,32,192
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,32,32,32,32,32,32,192
"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS,27,40,31,26,33,34,191
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,27,40,31,26,33,34,191
"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,27,40,31,26,33,34,191
"Secondary education, general pupils (% female)",SE.SEC.ENRL.GC.FE.ZS,30,43,21,42,33,21,190
"Armed forces personnel, total",MS.MIL.TOTL.P1,32,31,31,31,32,32,189
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,49,14,26,49,11,39,188
"Net financial flows, IMF nonconcessional (NFL, current US$)",DT.NFL.IMFN.CD,5,52,45,49,35,2,188
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,27,40,31,26,31,33,188
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,49,14,26,49,11,39,188
"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)",DC.DAC.KORL.CD,25,33,32,33,30,34,187
"Primary education, teachers",SE.PRM.TCHR,23,46,23,15,40,40,187
"Net bilateral aid flows from DAC donors, Spain (current US$)",DC.DAC.ESPL.CD,28,33,34,31,32,29,187
Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,31,31,31,31,31,31,186
"Self-employed, female (% of female employment) (modeled ILO estimate)",SL.EMP.SELF.FE.ZS,31,31,31,31,31,31,186
"Employers, female (% of female employment) (modeled ILO estimate)",SL.EMP.MPYR.FE.ZS,31,31,31,31,31,31,186
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,31,31,31,31,31,31,186
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,31,31,31,31,31,31,186
"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,31,31,31,31,31,31,186
"Contributing family workers, female (% of female employment) (modeled ILO estimate)",SL.FAM.WORK.FE.ZS,31,31,31,31,31,31,186
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,31,31,31,31,31,31,186
Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.EG.KT.CE,31,31,31,31,31,31,186
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,31,31,31,31,31,31,186
"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,31,31,31,31,31,31,186
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,31,31,31,31,31,31,186
"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,31,31,31,31,31,31,186
Adjusted savings: particulate emission damage (current US$),NY.ADJ.DPEM.CD,31,31,31,31,31,31,186
CO2 emissions (kt),EN.ATM.CO2E.KT,31,31,31,31,31,31,186
"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",SL.EMP.VULN.MA.ZS,31,31,31,31,31,31,186
"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",SL.EMP.VULN.FE.ZS,31,31,31,31,31,31,186
Forest area (% of land area),AG.LND.FRST.ZS,31,31,31,31,31,31,186
Forest area (sq. km),AG.LND.FRST.K2,31,31,31,31,31,31,186
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,31,31,31,31,31,31,186
"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,31,31,31,31,31,31,186
"Self-employed, male (% of male employment) (modeled ILO estimate)",SL.EMP.SELF.MA.ZS,31,31,31,31,31,31,186
CO2 emissions (kg per 2017 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,31,31,31,31,31,31,186
"Contributing family workers, male (% of male employment) (modeled ILO estimate)",SL.FAM.WORK.MA.ZS,31,31,31,31,31,31,186
Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,31,31,31,31,31,31,186
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,31,31,31,31,31,31,186
CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,31,31,31,31,31,31,186
Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,31,31,31,31,31,31,186
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,31,31,31,31,31,31,186
"Employers, male (% of male employment) (modeled ILO estimate)",SL.EMP.MPYR.MA.ZS,31,31,31,31,31,31,186
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,31,31,31,31,31,31,186
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,31,31,31,31,31,31,186
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,31,31,31,31,31,31,186
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,31,31,31,31,31,31,186
"Contributing family workers, total (% of total employment) (modeled ILO estimate)",SL.FAM.WORK.ZS,31,31,31,31,31,31,186
"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",SL.EMP.WORK.FE.ZS,31,31,31,31,31,31,186
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,31,31,31,31,31,31,186
CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,31,31,31,31,31,31,186
"Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",SL.EMP.WORK.MA.ZS,31,31,31,31,31,31,186
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,31,31,31,31,31,31,186
"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,23,39,31,26,33,33,185
"Net financial flows, RDB concessional (NFL, current US$)",DT.NFL.RDBC.CD,,40,38,40,34,31,183
Adjusted savings: particulate emission damage (% of GNI),NY.ADJ.DPEM.GN.ZS,31,31,27,31,31,31,182
"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",DT.NFL.DPNG.CD,27,22,,45,35,52,181
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,63,20,7,34,30,26,180
"PNG, commercial banks and other creditors (NFL, current US$)",DT.NFL.PNGC.CD,27,20,,45,35,52,179
"Net official flows from UN agencies, IFAD (current US$)",DT.NFL.IFAD.CD,,41,32,41,30,33,177
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,30,29,29,29,30,30,177
"Portfolio investment, net (BoP, current US$)",BN.KLT.PTXL.CD,38,16,17,33,30,39,173
"Pupil-teacher ratio, primary",SE.PRM.ENRL.TC.ZS,24,44,21,15,32,35,171
"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,26,29,22,29,30,32,168
Access to electricity (% of population),EG.ELC.ACCS.ZS,26,29,22,29,30,32,168
"PPP conversion factor, private consumption (LCU per international $)",PA.NUS.PRVT.PP,33,33,24,33,9,33,165
"Primary education, teachers (% female)",SE.PRM.TCHR.FE.ZS,21,43,17,15,36,32,164
"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,33,33,24,33,9,32,164
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,60,,,7,60,37,164
Real effective exchange rate index (2010 = 100),PX.REX.REER,44,43,31,,,43,161
Military expenditure (% of general government expenditure),MS.MIL.XPND.ZS,22,34,24,34,14,32,160
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",NV.AGR.EMPL.KD,29,14,29,29,28,29,158
"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,33,17,30,33,13,32,158
"Industry (including construction), value added per worker (constant 2015 US$)",NV.IND.EMPL.KD,29,14,29,29,28,29,158
"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD,31,31,16,30,17,31,156
"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,31,31,16,30,17,31,156
"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,33,17,28,33,13,32,156
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,26,26,26,26,26,26,156
"Gross fixed capital formation, private sector (current LCU)",NE.GDI.FPRV.CN,63,22,29,,42,,156
"GNI, PPP (constant 2017 international $)",NY.GNP.MKTP.PP.KD,33,17,28,33,13,32,156
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,63,22,29,,42,,156
Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN,31,31,,31,31,31,155
Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,31,31,,31,31,31,155
"Secondary education, vocational pupils",SE.SEC.ENRL.VO,23,38,21,30,28,15,155
"School enrollment, tertiary (% gross)",SE.TER.ENRR,20,26,32,26,27,23,154
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,26,29,8,26,30,32,151
Scientific and technical journal articles,IP.JRN.ARTC.SC,25,25,25,25,25,25,150
GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,25,25,25,25,24,25,149
GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,25,25,25,25,24,25,149
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,25,25,25,25,24,25,149
"Secondary education, teachers",SE.SEC.TCHR,17,39,20,12,28,31,147
"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP,22,,15,49,8,53,147
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,,43,11,27,18,46,145
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,31,30,17,40,20,6,144
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,26,24,18,26,26,23,143
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,26,26,14,25,26,26,143
"Services, value added per worker (constant 2015 US$)",NV.SRV.EMPL.KD,29,14,29,14,28,29,143
"Net bilateral aid flows from DAC donors, Luxembourg (current US$)",DC.DAC.LUXL.CD,29,22,32,26,12,21,142
"International tourism, number of arrivals",ST.INT.ARVL,26,21,22,25,26,22,142
Net secondary income (Net current transfers from abroad) (constant LCU),NY.TRF.NCTR.KN,53,6,,48,,32,139
"Secondary education, teachers (% female)",SE.SEC.TCHR.FE.ZS,17,37,13,12,30,30,139
Government Effectiveness: Number of Sources,GE.NO.SRC,23,23,23,23,23,23,138
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,23,23,23,23,23,23,138
Regulatory Quality: Percentile Rank,RQ.PER.RNK,23,23,23,23,23,23,138
Control of Corruption: Percentile Rank,CC.PER.RNK,23,23,23,23,23,23,138
Rule of Law: Standard Error,RL.STD.ERR,23,23,23,23,23,23,138
"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,23,23,23,23,23,23,138
Regulatory Quality: Standard Error,RQ.STD.ERR,23,23,23,23,23,23,138
"Prevalence of overweight (modeled estimate, % of children under 5)",SH.STA.OWGH.ME.ZS,23,23,23,23,23,23,138
"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",PV.PER.RNK.UPPER,23,23,23,23,23,23,138
Government Effectiveness: Standard Error,GE.STD.ERR,23,23,23,23,23,23,138
"Rule of Law: Percentile Rank, Lower Bound of 90% Confidence Interval",RL.PER.RNK.LOWER,23,23,23,23,23,23,138
Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,23,23,23,23,23,23,138
"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,23,23,23,23,23,23,138
Voice and Accountability: Percentile Rank,VA.PER.RNK,23,23,23,23,23,23,138
Control of Corruption: Number of Sources,CC.NO.SRC,23,23,23,23,23,23,138
"Rule of Law: Percentile Rank, Upper Bound of 90% Confidence Interval",RL.PER.RNK.UPPER,23,23,23,23,23,23,138
"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",SH.STA.STNT.ME.ZS,23,23,23,23,23,23,138
Government Effectiveness: Estimate,GE.EST,23,23,23,23,23,23,138
Rule of Law: Estimate,RL.EST,23,23,23,23,23,23,138
"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,23,23,23,23,23,23,138
"Regulatory Quality: Percentile Rank, Lower Bound of 90% Confidence Interval",RQ.PER.RNK.LOWER,23,23,23,23,23,23,138
Voice and Accountability: Number of Sources,VA.NO.SRC,23,23,23,23,23,23,138
Voice and Accountability: Estimate,VA.EST,23,23,23,23,23,23,138
Regulatory Quality: Estimate,RQ.EST,23,23,23,23,23,23,138
"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",PV.PER.RNK.LOWER,23,23,23,23,23,23,138
"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",VA.PER.RNK.UPPER,23,23,23,23,23,23,138
"Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval",VA.PER.RNK.LOWER,23,23,23,23,23,23,138
Control of Corruption: Standard Error,CC.STD.ERR,23,23,23,23,23,23,138
"Compulsory education, duration (years)",SE.COM.DURS,24,24,24,24,24,18,138
Voice and Accountability: Standard Error,VA.STD.ERR,23,23,23,23,23,23,138
Control of Corruption: Estimate,CC.EST,23,23,23,23,23,23,138
Rule of Law: Number of Sources,RL.NO.SRC,23,23,23,23,23,23,138
Rule of Law: Percentile Rank,RL.PER.RNK,23,23,23,23,23,23,138
Regulatory Quality: Number of Sources,RQ.NO.SRC,23,23,23,23,23,23,138
Government Effectiveness: Percentile Rank,GE.PER.RNK,23,23,23,23,23,23,138
"Secondary education, vocational pupils (% female)",SE.SEC.ENRL.VO.FE.ZS,23,38,20,26,17,14,138
"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,23,23,23,23,23,23,138
Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,23,23,23,23,23,23,138
Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,23,23,23,23,23,23,138
"Regulatory Quality: Percentile Rank, Upper Bound of 90% Confidence Interval",RQ.PER.RNK.UPPER,23,23,23,23,23,23,138
"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,61,4,5,34,26,4,134
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,16,37,18,9,28,24,132
"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,22,22,22,22,22,22,132
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),SH.HIV.PMTC.ZS,22,22,22,22,22,22,132
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,22,22,22,22,22,22,132
Other greenhouse gas emissions (% change from 1990),EN.ATM.GHGO.ZG,22,22,22,22,22,22,132
Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,22,22,22,22,22,22,132
Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,22,22,22,22,22,22,132
"Tuberculosis case detection rate (%, all forms)",SH.TBS.DTEC.ZS,22,22,22,22,22,22,132
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,22,22,22,22,22,22,132
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,22,22,22,22,22,22,132
"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,22,22,22,22,22,22,132
Methane emissions (% change from 1990),EN.ATM.METH.ZG,22,22,22,22,22,22,132
"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,26,26,16,25,12,26,131
"Net bilateral aid flows from DAC donors, Greece (current US$)",DC.DAC.GRCL.CD,24,15,25,25,23,19,131
"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,26,26,16,25,12,25,130
"PPG, bonds (NFL, current US$)",DT.NFL.PBND.CD,28,8,14,14,51,14,129
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",DT.NFL.BOND.CD,28,8,14,14,51,14,129
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,26,26,14,25,12,26,129
"School enrollment, preprimary (% gross)",SE.PRE.ENRR,15,37,16,32,15,13,128
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,63,,,32,,32,127
Total greenhouse gas emissions (% change from 1990),EN.ATM.GHGT.ZG,17,22,22,22,22,22,127
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,21,21,21,21,21,21,126
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,46,22,,26,7,25,126
People practicing open defecation (% of population),SH.STA.ODFC.ZS,21,21,21,21,21,21,126
"People using at least basic drinking water services, rural (% of rural population)",SH.H2O.BASW.RU.ZS,21,21,21,21,21,21,126
"People using safely managed drinking water services, urban (% of urban population)",SH.H2O.SMDW.UR.ZS,21,21,21,21,21,21,126
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,21,21,21,21,21,21,126
"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,21,21,21,21,21,21,126
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,21,21,21,21,21,21,126
Lifetime risk of maternal death (1 in: rate varies by country),SH.MMR.RISK,21,21,21,21,21,21,126
"People practicing open defecation, urban (% of urban population)",SH.STA.ODFC.UR.ZS,21,21,21,21,21,21,126
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,21,21,21,21,21,21,126
"People using at least basic drinking water services, urban (% of urban population)",SH.H2O.BASW.UR.ZS,21,21,21,21,21,21,126
Number of maternal deaths,SH.MMR.DTHS,21,21,21,21,21,21,126
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,21,21,21,21,21,21,126
"Secondary education, teachers, female",SE.SEC.TCHR.FE,17,37,13,12,23,24,126
"Listed domestic companies, total",CM.MKT.LDOM.NO,46,23,,26,7,24,126
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,46,22,,26,7,25,126
"People using at least basic sanitation services, rural (% of rural population)",SH.STA.BASS.RU.ZS,21,21,21,21,21,21,126
"People practicing open defecation, rural (% of rural population)",SH.STA.ODFC.RU.ZS,21,21,21,21,21,21,126
Tuberculosis treatment success rate (% of new cases),SH.TBS.CURE.ZS,21,21,21,21,21,21,126
"Preprimary education, duration (years)",SE.PRE.DURS,23,9,23,23,23,23,124
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,25,20,15,20,27,17,124
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,22,22,21,22,14,22,123
"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,40,4,17,30,13,18,122
"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,40,4,17,30,13,18,122
"Patent applications, nonresidents",IP.PAT.NRES,41,15,3,35,18,10,122
"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,22,20,17,38,13,11,121
"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",SH.STA.POIS.P5.FE,20,20,20,20,20,20,120
"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5,20,20,20,20,20,20,120
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,20,20,20,20,20,20,120
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",SH.DYN.NCOM.FE.ZS,20,20,20,20,20,20,120
"Suicide mortality rate, male (per 100,000 male population)",SH.STA.SUIC.MA.P5,20,20,20,20,20,20,120
"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",SH.STA.POIS.P5.MA,20,20,20,20,20,20,120
Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,20,20,20,20,20,20,120
"Mortality rate attributed to unintentional poisoning (per 100,000 population)",SH.STA.POIS.P5,20,20,20,20,20,20,120
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,20,20,20,20,20,20,120
Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,20,20,20,20,20,20,120
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,20,20,20,20,20,20,120
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",SH.DYN.NCOM.MA.ZS,20,20,20,20,20,20,120
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,20,20,20,20,20,20,120
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",SH.DYN.NCOM.ZS,20,20,20,20,20,20,120
Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,46,20,,20,7,25,118
Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD,46,20,,20,7,25,118
"School enrollment, preprimary, female (% gross)",SE.PRE.ENRR.FE,15,33,15,27,14,13,117
"School enrollment, preprimary, male (% gross)",SE.PRE.ENRR.MA,15,33,15,27,14,13,117
"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,21,21,21,21,11,21,116
"External health expenditure per capita, PPP (current international $)",SH.XPD.EHEX.PP.CD,21,21,21,21,11,21,116
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,21,21,21,21,11,21,116
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,21,21,21,21,11,21,116
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,21,21,21,21,11,21,116
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,21,21,21,21,11,21,116
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,21,21,21,21,11,21,116
External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,21,21,21,21,11,21,116
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,21,21,21,21,11,21,116
Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,21,21,21,21,11,21,116
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,21,21,21,21,11,21,116
"Domestic general government health expenditure per capita, PPP (current international $)",SH.XPD.GHED.PP.CD,21,21,21,21,11,21,116
External health expenditure per capita (current US$),SH.XPD.EHEX.PC.CD,21,21,21,21,11,21,116
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,21,21,21,21,11,21,116
"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,21,21,21,21,11,21,116
Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,21,21,21,21,11,21,116
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,21,21,21,21,11,21,116
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,46,20,,20,7,22,115
"International tourism, receipts for passenger transport items (current US$)",ST.INT.TRNR.CD,26,26,,25,12,26,115
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,10,21,21,20,21,21,114
"School enrollment, primary, private (% of total primary)",SE.PRM.PRIV.ZS,29,30,7,5,28,15,114
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",SE.PRM.GINT.ZS,18,31,26,18,9,11,113
Claims on other sectors of the domestic economy (annual growth as % of broad money),FM.AST.DOMO.ZG.M3,21,21,18,20,13,20,113
"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,28,16,9,21,14,24,112
"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS,28,16,9,21,14,24,112
Expenditure on tertiary education (% of government expenditure on education),SE.XPD.TERT.ZS,27,24,12,31,16,2,112
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,26,26,14,5,16,25,112
"Tariff rate, most favored nation, simple mean, manufactured products (%)",TM.TAX.MANF.SM.FN.ZS,28,16,9,21,14,24,112
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,11,24,12,18,25,21,111
"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,28,15,9,21,14,24,111
"Tariff rate, applied, weighted mean, primary products (%)",TM.TAX.TCOM.WM.AR.ZS,28,15,9,21,14,24,111
"Share of tariff lines with specific rates, manufactured products (%)",TM.TAX.MANF.SR.ZS,28,15,9,21,14,24,111
"Share of tariff lines with specific rates, primary products (%)",TM.TAX.TCOM.SR.ZS,28,15,9,21,14,24,111
"Tariff rate, applied, simple mean, all products (%)",TM.TAX.MRCH.SM.AR.ZS,28,15,9,21,14,24,111
"Tariff rate, applied, simple mean, primary products (%)",TM.TAX.TCOM.SM.AR.ZS,28,15,9,21,14,24,111
"Share of tariff lines with specific rates, all products (%)",TM.TAX.MRCH.SR.ZS,28,15,9,21,14,24,111
